Material,Material Description,Plnt,SLoc,S,Unrestr.,Total Value,Special stock number
2961192,RESOLVER CABLE 15 MTR-SIEMENS,HRWB,AUT,Q,13,"6,337.00",C/4167/11
2961312,CNC-DRVCLIQ CABLE MOTOR/DRV 10M-SIEMENS,HRWB,AUT,,110,"11,136.26",
2963336,CNC-POWER CABLE PREAS 15M-SIEMENS,HRWB,AUT,,1,"6,304.00",
2963491,POWER CABLE 5M-SIEMENS,HRWB,AUT,Q,24,"16,423.05",C/4167/11
2963747,"COMM ACC-CP1623 X1,PCI CARD-SIEMENS",HRWB,AUT,,6,"1,24,009.20",
2963909,"CONNECTOR-RS485,180DEG-SIEMENS",HRWB,AUT,,1,"6,876.00",
2964500,PC ADAPTER USB A2-SIEMENS,HRWB,AUT,,16,"94,065.79",
2966016,SINEMA RC 3G REMOTE CONN VIRTUAL-SIEMENS,HRWB,AUT,,6,"30,870.00",
2966058,PLC ACC-RJ45 PLUG-IN CONN-SIEMENS,HRWB,AUT,Q,10,"1,697.46",C/4167/11
2966171,PLC ACC-RJ45 PLUG-IN IE FC 90D-SIEMENS,HRWB,AUT,,327,"3,014.40",
2966184,COMM ACC-SCALANCE XB008 10/100 -SIEMENS,HRWB,AUT,Q,3,"7,796.37",C/4167/12
2966207,"COMM ACC-CP342-5,S7-300 TO IE-SIEMENS",HRWB,AUT,Q,4,"48,545.00",C/4167/11
2966265,"COMM ACC-CP443-1,TO IE ISO&TCPIP-SIEMENS",HRWB,AUT,Q,20,"1,17,408.75",C/4167/11
2966508,"DRV ACC-CONVERTER4Q,3P,400V,50A-SIEMENS",HRWB,AUT,,29,"90,206.00",
2966595,VFD ACC-BOP->MM430-SIEMENS,HRWB,AUT,Q,5,"2,029.52",C/4167/11
2966621,VFD ACC-BOP->MM420/440-SIEMENS,HRWB,AUT,,30,"11,432.80",
2966634,VFD ACC-PROFIBUS MODULE-SIEMENS,HRWB,AUT,,400,"9,606.60",
2966676,DRV ACC-PC/INVERTER CONN KIT-SIEMENS,HRWB,AUT,,7,"1,696.80",
2966692,"VFD-MM420,1.5kW/2HP,3AC,380-480V-SIEMENS",HRWB,AUT,Q,135,"20,950.00",C/4167/11
2966786,"VFD-MM440,11kW/3HP,1AC200-240V-SIEMENS",HRWB,AUT,,16,"40,885.74",
2967015,"VFD-MM440,2.2kW/3HP,3AC380-480V-SIEMENS",HRWB,AUT,,12,"42,251.83",
2967060,"VFD-MM440,110kW,VT,3AC380-480V-SIEMENS",HRWB,AUT,,45,"3,28,062.10",
2967086,"LINE CHOKE 69A, 36kW -SIEMENS",HRWB,AUT,,2,"9,843.00",
2967675,CONTROL UNIT ADAPTOR CUA31-SIEMENS,HRWB,AUT,,6,"18,601.92",
2967950,CONTROL UNIT ADAPTOR CUA31-SIEMENS,HRWB,AUT,Q,6,"27,902.88",C/4167/12
2980348,S120-COMPACT FLASH CARD V4.8-SIEMENS,HRWB,AUT,Q,30,"24,765.95",C/4167/12
2980458,"TM31-TERM MOD,8DI/4DO2AI/AO,1PTC-SIEMENS",HRWB,AUT,,30,"92,256.03",
2981020,TM41 DI/DO TERMINAL MODULE-SIEMENS,HRWB,AUT,,1,"54,907.14",
2982171,MOD-SONST 6SL30-SIEMENS,HRWB,AUT,,12,"1,775.03",
2986960,MOD-SONST 6SL30-SIEMENS,HRWB,AUT,Q,2,"1,775.04",C/4167/11
3000543,MOD-SONST 6SL30-SIEMENS,HRWB,AUT,Q,49,"1,775.04",C/4167/12
3000569,DRV ACC-SENSOR MODULE-SIEMENS,HRWB,AUT,,148,"12,221.84",
3000571,CNC-SMC30 MODULE->TTL/HTLENCODER-SIEMENS,HRWB,AUT,,50,"9,421.31",
3001022,"DRV ACC-SMC20,SENSOR MODULE-SIEMENS",HRWB,AUT,,190,"22,260.00",
3001035,PCU TO SINAMICS CABLE-5 MTR-SIEMENS,HRWB,AUT,,"1,328.00","2,362.81",
3001275,DATA CABLE-SIEMENS,HRWB,AUT,Q,141,"1,748.40",C/4167/12
